dataset,refined_question,relevant_column,results,ground_truth,task,difficulty
Customer Personality Analysis Dataset,How can we evaluate the similarity of the distributions of the number of teenagers in the customer's household and the amount spent on fruits in the last two years?,"[{""column_header"": ""Teenhome"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""MntFruits"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kolmogorov-Smirnov Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Distribution significantly different""}]","{""columns"": [""Teenhome"", ""MntFruits""], ""methods"": [""Kolmogorov-Smirnov Test""]}",Distribution Compliance Test,easy
Pokedex Dataset,"Is there any noticeable interaction between the generation in which a Pokemon was introduced and its color, as defined by the Pokedex?","[{""column_header"": ""Generation"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Color"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 1e-05}"", ""conclusion"": ""Not independent""}]","{""columns"": [""Generation"", ""Color""], ""methods"": [""Chi-square Independence Test""]}",Contingency Table Test,hard
Salary Dataset by Job Title and Country,Does the data provide any indication of a connection between gender and level of education?,"[{""column_header"": ""Gender"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Education Level"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Not independent""}]","{""columns"": [""Gender"", ""Education Level""], ""methods"": [""Chi-square Independence Test""]}",Contingency Table Test,hard
Exercise and Fitness Metrics Dataset,Can we assume that there are no major differences in the variances of age and body mass index (BMI)?,"[{""column_header"": ""Age"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""BMI"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 27.11432, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 3972.21513, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""Age"", ""BMI""], ""methods"": [""Mood Variance Test"", ""Levene Test""]}",Variance Test,hard
Lung Cancer Survey Dataset,Is there a significant variation in the impact of CHEST PAIN on LUNG_CANCER when considering alcohol consumption status?,"[{""column_header"": ""CHEST PAIN"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""LUNG_CANCER"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""ALCOHOL CONSUMING"", ""is_strata"": true, ""is_control"": false}]","[{""method"": ""Mantel-Haenszel Test"", ""result"": ""{\""p value\"": 0.07111}"", ""conclusion"": ""Independent""}]","{""columns"": [""CHEST PAIN"", ""LUNG_CANCER"", ""ALCOHOL CONSUMING""], ""methods"": [""Mantel-Haenszel Test""]}",Contingency Table Test,easy
Obesity or CVD Risk Dataset,Could you calculate the kurtosis for the daily water consumption variable?,"[{""column_header"": ""CH2O"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kurtosis"", ""result"": ""-0.87939"", ""conclusion"": ""-0.87939""}]","{""columns"": [""CH2O""], ""methods"": [""Kurtosis""]}",Descriptive Statistics,easy
Obesity or CVD Risk Dataset,"Does the consumption of high-caloric food (FAVC) frequently relate to NObeyesdad categories, encompassing underweight (less than 18.5), normal (18.5 to 24.9), overweight (25.0 to 29.9), obesity class I (30.0 to 34.9), obesity class II (35.0 to 39.9), and obesity class III (higher than 40)?","[{""column_header"": ""FAVC"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""NObeyesdad"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Not independent""}]","{""columns"": [""FAVC"", ""NObeyesdad""], ""methods"": [""Chi-square Independence Test""]}",Contingency Table Test,hard
Student Performance Prediction Dataset,Do the observed frequencies of mother's job (Mjob) and guardian conform to the independence assumption?,"[{""column_header"": ""Mjob"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""guardian"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.00238}"", ""conclusion"": ""Not independent""}]","{""columns"": [""Mjob"", ""guardian""], ""methods"": [""Chi-square Independence Test""]}",Contingency Table Test,hard
Student Performance Prediction Dataset,How strong is the association between age and workday alcohol consumption (Dalc)?,"[{""column_header"": ""age"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Dalc"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Pearson Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.13477}"", ""conclusion"": ""Not strongly correlated""}, {""method"": ""Spearman Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.08132}"", ""conclusion"": ""Not strongly correlated""}, {""method"": ""Kendall Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.07058}"", ""conclusion"": ""Not strongly correlated""}]","{""columns"": [""age"", ""Dalc""], ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]}",Correlation Analysis,easy
Students Math-Reading-Writing Performance Dataset,Can you calculate the range of scores on the standardized mathematics test?,"[{""column_header"": ""math score"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Range"", ""result"": ""100.0"", ""conclusion"": ""100.0""}]","{""columns"": [""math score""], ""methods"": [""Range""]}",Descriptive Statistics,easy
Income and Happiness Score Dataset,Is there uniformity in the variance of median income compared to GDP?,"[{""column_header"": ""median_income"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""GDP"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 0.0, \""p value\"": 1.0}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 73.44123, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""median_income"", ""GDP""], ""methods"": [""Mood Variance Test"", ""Levene Test""]}",Variance Test,hard
Crop Production Dataset,Is it possible for us to establish if there are any statistically meaningful variances in yearly crop yield between Thailand and India?,"[{""column_header"": ""Thailand"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""India"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 0.0, \""p value\"": 1.0}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 3.22598, \""p value\"": 0.12261}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Bartlett Test"", ""result"": ""{\""stat\"": 3.49092, \""p value\"": 0.06171}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""F-Test for Variance"", ""result"": ""{\""stat\"": 57.81393, \""p value\"": 0.00027}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""Thailand"", ""India""], ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]}",Variance Test,easy
Student Performance Prediction Dataset,Is there any evidence of an association between the type of school attended (Gabriel Pereira or Mousinho da Silveira) and the availability of family educational support?,"[{""column_header"": ""school"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""famsup"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.12388}"", ""conclusion"": ""Independent""}, {""method"": ""Fisher Exact Test"", ""result"": ""{\""p value\"": 0.10868}"", ""conclusion"": ""Independent""}]","{""columns"": [""school"", ""famsup""], ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]}",Contingency Table Test,easy
Lung Cancer Survey Dataset,Is the association between the presence of chronic disease and the diagnosis of lung cancer subject to variation when stratified by gender?,"[{""column_header"": ""CHRONIC DISEASE"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""LUNG_CANCER"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""GENDER"", ""is_strata"": true, ""is_control"": false}]","[{""method"": ""Mantel-Haenszel Test"", ""result"": ""{\""p value\"": 0.02524}"", ""conclusion"": ""Not independent""}]","{""columns"": [""CHRONIC DISEASE"", ""LUNG_CANCER"", ""GENDER""], ""methods"": [""Mantel-Haenszel Test""]}",Contingency Table Test,easy
Heart Failure Prediction Dataset,Are the observed occurrences of chest pain type and exercise-induced angina frequencies in line with the assumption of independence?,"[{""column_header"": ""ChestPainType"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""ExerciseAngina"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Not independent""}]","{""columns"": [""ChestPainType"", ""ExerciseAngina""], ""methods"": [""Chi-square Independence Test""]}",Contingency Table Test,hard
Terrorist Attacks Dataset,How can we evaluate the similarity of distributions between attacks involving hijacking and the number of deaths of individuals aged 11-20?,"[{""column_header"": ""Attack method: Hijacking"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Death Age : 11-20 "", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kolmogorov-Smirnov Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Distribution significantly different""}]","{""columns"": [""Attack method: Hijacking"", ""Death Age : 11-20 ""], ""methods"": [""Kolmogorov-Smirnov Test""]}",Distribution Compliance Test,easy
Exercise and Fitness Metrics Dataset,How do we calculate the mode of the exercise intensity rating?,"[{""column_header"": ""Exercise Intensity"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mode"", ""result"": ""7"", ""conclusion"": ""7""}]","{""columns"": [""Exercise Intensity""], ""methods"": [""Mode""]}",Descriptive Statistics,easy
Heart Failure Prediction Dataset,To what extent can we rely on the normality assumption for the distribution of age in this analysis?,"[{""column_header"": ""Age"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Anderson-Darling Test"", ""result"": ""{\""AD results\"": \""{\\\""stat\\\"": 2.78038, \\\""crit\\\"": 0.574}\""}"", ""conclusion"": ""Non-normally distributed""}, {""method"": ""Kolmogorov-Smirnov Test for Normality"", ""result"": ""{\""p value\"": 0.00125}"", ""conclusion"": ""Non-normally distributed""}, {""method"": ""Lilliefors Test"", ""result"": ""{\""p value\"": 0.001}"", ""conclusion"": ""Non-normally distributed""}]","{""columns"": [""Age""], ""methods"": [""Anderson-Darling Test"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]}",Distribution Compliance Test,hard
US Christmas Tree Sales Dataset,How strong is the relationship between the number of Christmas trees purchased and their average sale price?,"[{""column_header"": ""Number of trees sold"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Average Tree Price"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kendall Correlation Coefficient"", ""result"": ""{\""coefficient\"": -0.42857}"", ""conclusion"": ""Not strongly correlated""}]","{""columns"": [""Number of trees sold"", ""Average Tree Price""], ""methods"": [""Kendall Correlation Coefficient""]}",Correlation Analysis,hard
Pokedex Dataset,Is there a correspondence between the variability in base Special Attack (Sp_Atk) and the variability in the height of the Pokemon (Height_m)?,"[{""column_header"": ""Sp_Atk"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Height_m"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": -0.0, \""p value\"": 1.0}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 1215.85542, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""Sp_Atk"", ""Height_m""], ""methods"": [""Mood Variance Test"", ""Levene Test""]}",Variance Test,hard
Terrorist Attacks Dataset,Are the values for the number of deaths resulting from terrorist attacks consistent with a normal distribution?,"[{""column_header"": ""Terrorism deaths"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Anderson-Darling Test"", ""result"": ""{\""AD results\"": \""{\\\""stat\\\"": 3460.7965, \\\""crit\\\"": 0.576}\""}"", ""conclusion"": ""Non-normally distributed""}, {""method"": ""Kolmogorov-Smirnov Test for Normality"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Non-normally distributed""}, {""method"": ""Lilliefors Test"", ""result"": ""{\""p value\"": 0.001}"", ""conclusion"": ""Non-normally distributed""}]","{""columns"": [""Terrorism deaths""], ""methods"": [""Anderson-Darling Test"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]}",Distribution Compliance Test,hard
Obesity or CVD Risk Dataset,Do variations in gender correspond to variations in smoking status?,"[{""column_header"": ""Gender"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""SMOKE"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.05726}"", ""conclusion"": ""Independent""}, {""method"": ""Fisher Exact Test"", ""result"": ""{\""p value\"": 0.04713}"", ""conclusion"": ""Not independent""}]","{""columns"": [""Gender"", ""SMOKE""], ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]}",Contingency Table Test,easy
